Subject,Verb,Objects
ปัจจุบัน   มหาวิทยาลัยเกษตรศาสตร์ อยู่ ภาย ใต้ บังคับ พระราชบัญญัติ มหาวิทยาลัยเกษตรศาสตร์   พ.ศ.   2558   ซึ่ง,เป็น,"['มหาวิทยาลัย', 'ใน', 'กำกับ', 'ของ', 'รัฐ\n']"
ปัจจุบัน   มหาวิทยาลัยเกษตรศาสตร์ อยู่ ภาย ใต้ บังคับ พระราชบัญญัติ มหาวิทยาลัยเกษตรศาสตร์   พ.ศ.   2558   ซึ่ง,ประเมิน,"['ของ', 'สำนักงานกองทุนสนับสนุนการวิจัย', 'สกว.']"
ปัจจุบัน   มหาวิทยาลัยเกษตรศาสตร์ อยู่ ภาย ใต้ บังคับ พระราชบัญญัติ มหาวิทยาลัยเกษตรศาสตร์   พ.ศ.   2558   ซึ่ง,ประเมิน,"['คุณภาพ', 'ผล', 'งาน']"
ปัจจุบัน   มหาวิทยาลัยเกษตรศาสตร์ อยู่ ภาย ใต้ บังคับ พระราชบัญญัติ มหาวิทยาลัยเกษตรศาสตร์   พ.ศ.   2558   ซึ่ง,วิจัย,"['เชิง', 'วิชาการ', 'ด้าน', 'วิทยาศาสตร์และ', 'เทคโนโลยี', 'ของ', 'สถาบัน', 'อุดมศึกษา', 'ผล']"
ปัจจุบัน   มหาวิทยาลัยเกษตรศาสตร์ อยู่ ภาย ใต้ บังคับ พระราชบัญญัติ มหาวิทยาลัยเกษตรศาสตร์   พ.ศ.   2558   ซึ่ง,ปรากฏ,['ใน']
ปัจจุบัน   มหาวิทยาลัยเกษตรศาสตร์ อยู่ ภาย ใต้ บังคับ พระราชบัญญัติ มหาวิทยาลัยเกษตรศาสตร์   พ.ศ.   2558   ซึ่ง,ประเมิน,"['3', 'มหาวิทยาลัยเกษตรศาสตร์']"
ปัจจุบัน   มหาวิทยาลัยเกษตรศาสตร์ อยู่ ภาย ใต้ บังคับ พระราชบัญญัติ มหาวิทยาลัยเกษตรศาสตร์   พ.ศ.   2558   ซึ่ง,ประเมิน,"['ใน', 'ระดับ']"
ปัจจุบัน   มหาวิทยาลัยเกษตรศาสตร์ อยู่ ภาย ใต้ บังคับ พระราชบัญญัติ มหาวิทยาลัยเกษตรศาสตร์   พ.ศ.   2558   ซึ่ง,ดี,"['ใน', 'สาขา', 'วิชา']"
ปัจจุบัน   มหาวิทยาลัยเกษตรศาสตร์ อยู่ ภาย ใต้ บังคับ พระราชบัญญัติ มหาวิทยาลัยเกษตรศาสตร์   พ.ศ.   2558   ซึ่ง,บริหาร,"['ศัตรู', 'พืช', 'Pest', 'Management', 'จาก', 'ภาค', 'วิชากีฏวิทยา', 'คณะเกษตร']"
อีก ทั้ง ยัง ได้,เป็น,"['1', 'ใน', '9', 'มหาวิทยาลัยวิจัยแห่งชาติ', 'จาก', 'กระทรวงศึกษาธิการ', 'ใน', 'ปี', 'พ.ศ.', '2552', 'ด้วย', 'ปัจจุบัน']"
มหาวิทยาลัยเกษตรศาสตร์,มี,"['3', 'วิทยาเขต', 'ได้แก่', 'วิทยาเขตกำแพงแสน', 'วิทยาเขตศรีราชา', 'และ', 'วิทยาเขตเฉลิม', 'พระเกียรติ', 'จังหวัดสกลนคร', 'ทั้ง']"
มหาวิทยาลัยเกษตรศาสตร์,มี,['โครงการ']
มหาวิทยาลัยเกษตรศาสตร์,จัดตั้ง,"['วิทยา', 'เขตสุพรรณบุรี', 'หนึ่ง', 'แห่ง', 'ด้วย']"
มหาวิทยาลัยเกษตรศาสตร์,สอน,"['29', '2', 'วิทยาลัย', 'และ', 'สถาบันสมทบ', '2', 'แห่ง']"
มหาวิทยาลัยเกษตรศาสตร์,มี,"['หลักสูตร', '583', 'หลักสูตร']"
มหาวิทยาลัยเกษตรศาสตร์,เป็น,"['หลักสูตร', 'ชาติ', '42', 'หลักสูตร']"
นอก จาก นี้   ยัง ได้,จัดตั้ง,"['สถาบัน', 'วิจัยขึ้น', 'ตาม', 'จังหวัด']"
นอก จาก นี้   ยัง ได้,ต่าง,"['ๆ', 'แห่ง']"
นอก จาก นี้   ยัง ได้,วิจัย,"['ใน', 'ศาสตร์']"
นอก จาก นี้   ยัง ได้,ต่าง,['ๆ']
มหาวิทยาลัยเชียงใหม่   ( อังกฤษ :   Chiang Mai University ;   อักษร,ย่อ,"['มช.', '–', 'CMU']"
มหาวิทยาลัยเชียงใหม่   ( อังกฤษ :   Chiang Mai University ;   อักษร,เป็น,"['มหาวิทยาลัย', 'ของ', 'รัฐ', 'แห่ง', 'แรก']"
มหาวิทยาลัยเชียงใหม่   ( อังกฤษ :   Chiang Mai University ;   อักษร,จัดตั้ง,"['ใน', 'ส่วน', 'ภูมิภาค', 'และ']"
มหาวิทยาลัยเชียงใหม่   ( อังกฤษ :   Chiang Mai University ;   อักษร,เป็น,"['มหาวิทยาลัย', 'ของ', 'รัฐ', 'แห่ง', 'หก', 'ของ', 'ประเทศ', 'ไทย']"
มหาวิทยาลัยเชียงใหม่   ( อังกฤษ :   Chiang Mai University ;   อักษร,ก่อตั้ง,"['วัน', '22', 'มกราคม', 'พ.ศ.', '2507']"
มหาวิทยาลัยเชียงใหม่   ( อังกฤษ :   Chiang Mai University ;   อักษร,ตั้ง,"['บริเวณ', 'เชิง', 'ดอยสุเทพ', 'อำเภอเมืองเชียงใหม่']"
ปัจจุบัน มหาวิทยาลัยเชียงใหม่,มี,['สถานะ']
ปัจจุบัน มหาวิทยาลัยเชียงใหม่,เป็น,"['มหาวิทยาลัย', 'ใน', 'กำกับ', 'ของ', 'รัฐ', 'ตาม', 'พระราชบัญญัติ', 'มหาวิทยาลัยเชียงใหม่', 'พ.ศ.', '2551', 'มหาวิทยาลัยเชียงใหม่']"
ปัจจุบัน มหาวิทยาลัยเชียงใหม่,ศึกษา,['และ']
ปัจจุบัน มหาวิทยาลัยเชียงใหม่,ครอบคลุม,"['สาขา', 'วิทยาศาสตร์', 'สุขภาพ', 'วิทยาศาสตร์และ', 'เทคโนโลยี']"
ปัจจุบัน มหาวิทยาลัยเชียงใหม่,เกษตร,"['สังคมศาสตร์', 'และ', 'มนุษยศาสตร์', 'ใน', '21', '3', 'วิทยาลัย', '1', 'บัณฑิต', 'วิทยาลัย', 'และ', '8', 'สถาบัน']"
ปัจจุบัน มหาวิทยาลัยเชียงใหม่,มี,['หลักสูตร']
ปัจจุบัน มหาวิทยาลัยเชียงใหม่,สอน,"['ใน', 'คณะ', 'จำนวน', '340', 'หลักสูตร', 'ใน', 'ระดับ', 'ปริญญา', 'ตรี']"
ปัจจุบัน มหาวิทยาลัยเชียงใหม่,จำแนก,['หลักสูตร']
หลักสูตร นานา ชาติ   หลักสูตร,ต่อเนื่อง,"['และ', 'หลักสูตร', 'สาขา', 'วิชา', 'หลักสูตร', 'ระดับ', 'ปริญญา', 'โท']"
หลักสูตร นานา ชาติ   หลักสูตร,เป็น,"['2', 'แผน']"
หลักสูตร นานา ชาติ   หลักสูตร,เป็น,"['แผน', 'ก', 'และ', 'แผน', 'ข', 'และ', 'หลักสูตร', 'ระดับ', 'ปริญญา', 'เอก']"
หลักสูตร นานา ชาติ   หลักสูตร,เป็น,['2']
หลักสูตร นานา ชาติ   หลักสูตร,เป็น,"['แบบ', '1']"
โดย,ทำ,['วิทยานิพนธ์']
โดย,มี,['คุณภาพ']
และ,ก้าวหน้า,"['ทาง', 'วิชาการ', 'และ', 'วิชาชีพ', 'มหาวิทยาลัยเชียงใหม่']"
และ,เป็น,"['1', 'ใน', '9', 'มหาวิทยาลัยวิจัยแห่งชาติ', 'จาก', 'กระทรวงศึกษาธิการ']"
และ,เป็น,"['1', 'ใน', '7', 'สมาชิก']"
และ,เครือข่ายพันธมิตร,"['มหาวิทยาลัย', 'เพื่อ']"
และ,วิจัย,"['Research', 'University Network', 'RUN']"
และ,เป็น,"['สมาชิก', 'เครือข่าย', 'มหาวิทยาลัยอาเซียน', 'ASEAN University Network', 'AUN', 'และ']"
และ,เป็น,"['สมาชิก', 'Association', 'of', 'Southeast', 'Asian', 'Institutions', 'of', 'Higher', 'Learning', 'ASAIHL']"
สถาบันบัณฑิตพัฒนบริหารศาสตร์   (,ย่อ,"['สพบ.', 'อังกฤษ', 'National Institute', 'of', 'Development', 'Administration', 'หรือ', 'นิด้า', 'NIDA']"
สถาบันบัณฑิตพัฒนบริหารศาสตร์   (,เป็น,['สถาบัน']
สถาบันบัณฑิตพัฒนบริหารศาสตร์   (,ศึกษา,['ชั้น']
สถาบันบัณฑิตพัฒนบริหารศาสตร์   (,สูง,"['ของ', 'รัฐ']"
สถาบันบัณฑิตพัฒนบริหารศาสตร์   (,มี,['สถานภาพ']
สถาบันบัณฑิตพัฒนบริหารศาสตร์   (,เป็น,"['หน่วย', 'งาน', 'ระดับ', 'กรม']"
ใน สังกัด สำนักงานคณะกรรมการการอุดมศึกษา   กระทรวงศึกษาธิการ  ,เป็น,"['สถาบัน', 'อุดมศึกษา', 'ของ', 'รัฐ', 'แห่ง', 'ใน', 'ประเทศไทย']"
ใน สังกัด สำนักงานคณะกรรมการการอุดมศึกษา   กระทรวงศึกษาธิการ  ,สอน,"['เฉพาะ', 'ระดับ', 'บัณฑิตศึกษา']"
ใน สังกัด สำนักงานคณะกรรมการการอุดมศึกษา   กระทรวงศึกษาธิการ  ,สูง,"['ปริญญา', 'ตรี']"
ใน สังกัด สำนักงานคณะกรรมการการอุดมศึกษา   กระทรวงศึกษาธิการ  ,เน้น,"['หนัก', 'ใน', 'สาขา', 'วิชา', 'ทาง', 'ด้าน']"
นอก จาก นี้ ยัง,มี,"['หน้าที่', 'ใน', 'ด้าน']"
นอก จาก นี้ ยัง,ฝึกอบรม,['และ']
นอก จาก นี้ ยัง,บริการ,"['ทาง', 'วิชาการ', 'ด้าน', 'แก่', 'หน่วย', 'งาน', 'ราชการ', 'รัฐวิสาหกิจ', 'ธุรกิจ', 'เอกชน', 'และ', 'ประชาชน']"
และ,เป็น,['สถาบัน']
และ,สอน,"['หลักสูตร', 'MBA']"
และ,เป็น,"['แห่ง', 'แรก', 'ใน', 'ประเทศไทย']"
โดย คณะบริหาร ธุรกิจ ของ นิด้า ได้,จัด,"['ใน', 'อันดับ', 'ต้น', 'ของ', 'ทวีปเอเชีย', 'จาก', 'สื่อ', 'ชั้น']"
โดย คณะบริหาร ธุรกิจ ของ นิด้า ได้,นำ,['ระดับ']
โดย คณะบริหาร ธุรกิจ ของ นิด้า ได้,นานา,['ชาติ']
โดย คณะบริหาร ธุรกิจ ของ นิด้า ได้,ประกอบ,['กับ']
โดย คณะบริหาร ธุรกิจ ของ นิด้า ได้,เป็น,['สถาบัน']
โดย คณะบริหาร ธุรกิจ ของ นิด้า ได้,มี,"['อัตราส่วน', 'อาจารย์', 'ระดับ', 'ปริญญา']"
โดย คณะบริหาร ธุรกิจ ของ นิด้า ได้,เอก,"['ต่อ', 'จำนวน']"
โดย คณะบริหาร ธุรกิจ ของ นิด้า ได้,สูง,"['ใน', 'ประเทศไทย']"
และ สัดส่วน อาจารย์ ที่,มี,"['ตำแหน่ง', 'ทาง', 'วิชาการ']"
และ สัดส่วน อาจารย์ ที่,สูง,"['ใน', 'ประเทศไทย']"
และ สัดส่วน อาจารย์ ที่,รวม,['ถึง']
และ สัดส่วน อาจารย์ ที่,รับ,['คะแนน']
และ สัดส่วน อาจารย์ ที่,ดำเนิน,"['งาน', 'จาก', 'หลากหลาย', 'องค์กร', 'ใน', 'ระดับ']"
และ สัดส่วน อาจารย์ ที่,สูง,"['ใน', 'ประเทศไทย', 'บุคคล']"
และ สัดส่วน อาจารย์ ที่,เกี่ยวข้อง,"['กับ', 'สถาบัน']"
และ สัดส่วน อาจารย์ ที่,รวม,"['ถึง', 'คณาจารย์', 'และ', 'ศิษย์']"
และ สัดส่วน อาจารย์ ที่,มี,['หลากหลาย']
และ สัดส่วน อาจารย์ ที่,รวม,"['ถึง', 'บุคคล']"
และ สัดส่วน อาจารย์ ที่,สำคัญ,"['ใน', 'ด้าน', 'การเมืองการปกครอง', 'และ', 'ภาค', 'ธุรกิจ']"
ไม่ว่า จะ,เป็น,"['นายก', 'รัฐมนตรี', 'รอง', 'นายก', 'รัฐมนตรี', 'รัฐมนตรี']"
ไม่ว่า จะ,ประจำ,"['กระทรวง', 'สมาชิก', 'สภานิติบัญญัติแห่งชาติ', 'สมาชิก', 'สภาปฏิรูปแห่งชาติ', 'สมาชิก', 'สภาร่างรัฐธรรมนูญ', 'และ', 'ข้า', 'ราชการ', 'ระดับ']"
ไม่ว่า จะ,รวม,"['ถึง', 'เจ้าของ', 'ธุรกิจ', 'ขนาด']"
ไม่ว่า จะ,ใหญ่,"['ของ', 'ประเทศไทย']"
มหาวิทยาลัยศรีนครินทรวิโรฒ   ( อังกฤษ :   Srinakharinwirot  University ;   อักษร,ย่อ,"['มศว', '–', 'SWU', 'ถือกำเนิด', 'จาก', 'โรง']"
มหาวิทยาลัยศรีนครินทรวิโรฒ   ( อังกฤษ :   Srinakharinwirot  University ;   อักษร,ฝึกหัด,"['ครู', 'ชั้น']"
มหาวิทยาลัยศรีนครินทรวิโรฒ   ( อังกฤษ :   Srinakharinwirot  University ;   อักษร,ก่อตั้ง,"['พ.ศ.', '2492', 'และ']"
มหาวิทยาลัยศรีนครินทรวิโรฒ   ( อังกฤษ :   Srinakharinwirot  University ;   อักษร,เป็น,['ลำดับ']
มหาวิทยาลัยศรีนครินทรวิโรฒ   ( อังกฤษ :   Srinakharinwirot  University ;   อักษร,เป็น,"['วิทยาลัย', 'วิชาการ']"
มหาวิทยาลัยศรีนครินทรวิโรฒ   ( อังกฤษ :   Srinakharinwirot  University ;   อักษร,ศึกษา,"['พ.ศ.', '2497', 'และ']"
มหาวิทยาลัยศรีนครินทรวิโรฒ   ( อังกฤษ :   Srinakharinwirot  University ;   อักษร,ยก,['ฐานะ']
มหาวิทยาลัยศรีนครินทรวิโรฒ   ( อังกฤษ :   Srinakharinwirot  University ;   อักษร,เป็น,"['มหาวิทยาลัยศรีนครินทรวิโรฒ', 'พ.ศ.', '2517']"
มหาวิทยาลัยศรีนครินทรวิโรฒ   ( อังกฤษ :   Srinakharinwirot  University ;   อักษร,เป็น,"['มหาวิทยาลัย', 'ของ', 'รัฐ', 'แห่ง', '11', 'ของ', 'ประเทศไทย']"
โดย มหาวิทยาลัย ได้,ทำ,"['การเรียนการสอน', '74', 'ปี']"
โดย มหาวิทยาลัย ได้,มี,"['รอง', 'ศาสตราจารย์']"
ดร.สมชาย สันติวัฒนกุล  ,เป็น,"['อธิการบดี', 'มหาวิทยาลัย', 'คน']"
ดร.สมชาย สันติวัฒนกุล  ,"ปัจจุบัน
",['มหาวิทยาลัยศรีนครินทรวิโรฒ']
ดร.สมชาย สันติวัฒนกุล  ,เป็น,"['หนึ่ง', 'มหาวิทยาลัย']"
ดร.สมชาย สันติวัฒนกุล  ,ใช้,"['คำ', 'ว่า', 'นิสิต']"
ดร.สมชาย สันติวัฒนกุล  ,ศึกษา,"['คำ', 'ว่า', 'นิสิต']"
ดร.สมชาย สันติวัฒนกุล  ,มี,['ความหมาย']
ดร.สมชาย สันติวัฒนกุล  ,อยู่,"['คำ', 'ว่า', 'นิสิต']"
ดร.สมชาย สันติวัฒนกุล  ,ใช้,"['แรก', 'ใน', 'จุฬาลงกรณ์มหาวิทยาลัย']"
ใน ช่วง ที่,เป็น,['โรง']
ใน ช่วง ที่,เรียน,"['ข้า', 'ราชการ', 'พลเรือน', 'ของ', 'พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว']"
และ ได้,เป็น,['จุฬาลงกรณ์มหาวิทยาลัย']
ที่,ตั้ง,"['ของ', 'มหาวิทยาลัย']"
ที่,อยู่,"['นอก', 'เมือง']"
ดัง นั้น   ผู้ ที่,เรียน,['ส่วน']
ดัง นั้น   ผู้ ที่,พัก,"['ภาย', 'ใน', 'หอ', 'พัก', 'ของ', 'มหาวิทยาลัย', 'และ']"
ดัง นั้น   ผู้ ที่,เรียก,['บุคคล']
ดัง นั้น   ผู้ ที่,อยู่,"['ใน', 'ห้อง']"
ดัง นั้น   ผู้ ที่,ปฏิบัติการ,"['นิสิต', 'ด้วย']"
"ซึ่ง ใน ภาย หลัง มหาวิทยาลัยเกษตรศาสตร์ ,   มหาวิทยาลัยศรีนครินทรวิโรฒ ,   มหาวิทยาลัยนเรศวร ,   มหาวิทยาลัยบูรพา ,   มหาวิทยาลัยมหาสารคาม ,   มหาวิทยาลัยทักษิณ   และ มหาวิทยาลัยพะเยา   ได้",เปิด,"['นอก', 'เมือง', 'และ']"
"ซึ่ง ใน ภาย หลัง มหาวิทยาลัยเกษตรศาสตร์ ,   มหาวิทยาลัยศรีนครินทรวิโรฒ ,   มหาวิทยาลัยนเรศวร ,   มหาวิทยาลัยบูรพา ,   มหาวิทยาลัยมหาสารคาม ,   มหาวิทยาลัยทักษิณ   และ มหาวิทยาลัยพะเยา   ได้",อยู่,"['หอ', 'พัก']"
จึง ได้,ใช้,"['คำ', 'ว่า', 'นิสิต', 'ใน', 'ปัจจุบัน']"
จึง ได้,เรียน,['ไม่']
จึง ได้,พัก,"['ใน', 'หอ', 'พัก']"
จึง ได้,เหมือน,"['ใน', 'สมัย']"
แต่ ก็ ยัง,เรียก,"['นิสิต', 'มหาวิทยาลัย']"
มหาวิทยาลัยสุโขทัยธรรมาธิราช   ( อังกฤษ :   Sukhothai Thammathirat   Open   University ;   อักษร,ย่อ,"['มสธ.', '–', 'STOU']"
มหาวิทยาลัยสุโขทัยธรรมาธิราช   ( อังกฤษ :   Sukhothai Thammathirat   Open   University ;   อักษร,เป็น,"['สถาบัน', 'อุดมศึกษา', 'ของ', 'รัฐ', 'แบบ', 'ไม่']"
มหาวิทยาลัยสุโขทัยธรรมาธิราช   ( อังกฤษ :   Sukhothai Thammathirat   Open   University ;   อักษร,รับ,['จำนวน']
มหาวิทยาลัยสุโขทัยธรรมาธิราช   ( อังกฤษ :   Sukhothai Thammathirat   Open   University ;   อักษร,ใช้,['ระบบ']
มหาวิทยาลัยสุโขทัยธรรมาธิราช   ( อังกฤษ :   Sukhothai Thammathirat   Open   University ;   อักษร,ศึกษา,"['ทาง', 'ไกล']"
มหาวิทยาลัยสุโขทัยธรรมาธิราช   ( อังกฤษ :   Sukhothai Thammathirat   Open   University ;   อักษร,ก่อตั้ง,"['วัน', '5', 'กันยายน', 'พ.ศ.', '2521', 'ตาม', 'พระราชบัญญัติ', 'มหาวิทยาลัยสุโขทัยธรรมาธิราช', 'พุทธศักราช', '2521', 'มหาวิทยาลัยสุโขทัยธรรมาธิราช']"
มหาวิทยาลัยสุโขทัยธรรมาธิราช   ( อังกฤษ :   Sukhothai Thammathirat   Open   University ;   อักษร,จัด,"['การเรียนการสอน', 'ใน', 'ระดับ', 'ปริญญา', 'ตรี', 'แบบ', 'มหาวิทยาลัย']"
มหาวิทยาลัยสุโขทัยธรรมาธิราช   ( อังกฤษ :   Sukhothai Thammathirat   Open   University ;   อักษร,เปิด,['โดย']
มหาวิทยาลัยสุโขทัยธรรมาธิราช   ( อังกฤษ :   Sukhothai Thammathirat   Open   University ;   อักษร,ศึกษา,['ไม่']
มหาวิทยาลัยสุโขทัยธรรมาธิราช   ( อังกฤษ :   Sukhothai Thammathirat   Open   University ;   อักษร,จำกัด,"['จำนวน', 'ปัจจุบัน', 'มหาวิทยาลัยสุโขทัยธรรมาธิราช']"
มหาวิทยาลัยสุโขทัยธรรมาธิราช   ( อังกฤษ :   Sukhothai Thammathirat   Open   University ;   อักษร,ศึกษา,"['ถึง', 'ระดับ', 'ดุษฎีบัณฑิต', 'ใน', 'สาขา', 'วิชา']"
โดย,ศึกษา,['มหาวิทยาลัย']
โดย,ทั่วไป,"['มหาวิทยาลัยสุโขทัยธรรมาธิราช', 'ไม่']"
โดย,มี,['ชั้น']
โดย,เรียน,"['ตาม', 'มหาวิทยาลัย', 'แต่']"
โดย,ใช้,['ระบบ']
โดย,สอน,['ทาง']
โดย,จัด,"['การเรียนการสอน', 'โดย']"
โดย,เรียน,"['ด้วย', 'ตน', 'จาก', 'เอกสาร', 'วิชา', 'จาก', 'สื่อสารสนเทศ', ' ๆ', 'ทาง', 'มหาวิทยาลัย']"
โดย,จัด,"['ให้', 'นัก']"
โดย,ศึกษา,"['เช่น', 'สื่อ', 'สิ่งพิมพ์', 'สื่อ', 'อิเล็กทรอนิกส์', 'และ', 'สื่อ']"
โดย,ต่าง,"['ๆ', 'เป็นต้น\n']"
โดย,ศึกษา,"['จาก', 'มหาวิทยาลัยสุโขทัยธรรมาธิราช', 'ใน', 'อดีต']"
ได้,รับ,['พระราชทาน']
ได้,ปริญญา,"['บัตร', 'จาก', 'พระหัตถ์', 'พระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช', 'บรมนาถบพิตร', 'แต่', 'ใน', 'ปัจจุบัน', 'พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว']"
ได้,ปฏิบัติ,"['พระราชกรณียกิจ', 'ใน']"
ได้,ปริญญา,"['บัตร', 'แก่', 'บัณฑิต', 'จาก', 'มหาวิทยาลัยสุโขทัยธรรมาธิราช', 'ถึง', 'ปัจจุบัน', 'ภาย', 'หลัง', 'รัฐประหาร', 'ใน', 'ประเทศไทย', 'พ.ศ.', '2557', 'คณะรักษาความสงบแห่งชาติ']"
ได้,ออก,"['ประกาศ', '1', '2560']"
ได้,ควบคุม,['มหาวิทยาลัย']
ได้,เนื่อง,"['จาก', 'กรณี', 'กรรมการ']"
ได้,สภา,['มหาวิทยาลัย']
ได้,ทรง,['คุณวุฒิ']
ได้,ลา,"['จาก', 'ตำแหน่ง']"
ได้,เหลือ,"['กรรมการ', 'ไม่']"
ได้,ครบ,['องค์']
ได้,ประกอบ,"['ตาม', 'มาตรา', '13', 'แห่ง', 'พระราชบัญญัติ', 'มหาวิทยาลัยสุโขทัยธรรมาธิราช', 'พ.ศ.', '2521', 'และ']"
ได้,ควบคุม,"['วัน', '16', 'พฤศจิกายน', 'พ.ศ.', '2561']"
ได้,เนื่อง,['จาก']
ได้,มี,"['ประกาศ', 'สำนักนายกรัฐมนตรี', 'เรื่อง', 'แต่งตั้ง', 'นายก', 'สภา', 'มหาวิทยาลัย', 'และ', 'กรรมการ', 'สภา', 'มหาวิทยาลัย']"
ได้,ทรง,"['คุณวุฒิ', 'ของ', 'มหาวิทยาลัยสุโขทัยธรรมาธิราช']"
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง   ( อังกฤษ :   King  Mongkut ' s   Institute   of   Technology   Ladkrabang ;   อักษร,ย่อ,"['สจล. ', '–', 'KMITL']"
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง   ( อังกฤษ :   King  Mongkut ' s   Institute   of   Technology   Ladkrabang ;   อักษร,เป็น,"['มหาวิทยาลัย', 'ใน', 'กำกับ', 'ของ', 'รัฐ']"
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง   ( อังกฤษ :   King  Mongkut ' s   Institute   of   Technology   Ladkrabang ;   อักษร,ก่อตั้ง,['ด้วย']
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง   ( อังกฤษ :   King  Mongkut ' s   Institute   of   Technology   Ladkrabang ;   อักษร,ช่วยเหลือ,"['ของ', 'รัฐบาล', 'ญี่ปุ่น', 'มหาวิทยาลัยโตไก']"
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง   ( อังกฤษ :   King  Mongkut ' s   Institute   of   Technology   Ladkrabang ;   อักษร,เน้น,"['การเรียนการสอน', 'ด้าน', 'วิทยาศาสตร์และ', 'เทคโนโลยี']"
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง   ( อังกฤษ :   King  Mongkut ' s   Institute   of   Technology   Ladkrabang ;   อักษร,ตั้ง,['เขตลาดกระบัง']
มหาวิทยาลัยวลัยลักษณ์   ( อังกฤษ :   Walailak University ;   อักษร,ย่อ,"['มวล', '–', 'WU']"
มหาวิทยาลัยวลัยลักษณ์   ( อังกฤษ :   Walailak University ;   อักษร,เป็น,"['มหาวิทยาลัย', 'รัฐ']"
มหาวิทยาลัยวลัยลักษณ์   ( อังกฤษ :   Walailak University ;   อักษร,จัดตั้ง,"['ตาม', 'พระราชบัญญัติ', 'มหาวิทยาลัยวลัยลักษณ์', 'พ.ศ.', '2535']"
มหาวิทยาลัยวลัยลักษณ์   ( อังกฤษ :   Walailak University ;   อักษร,มี,['รูปแบบ']
มหาวิทยาลัยวลัยลักษณ์   ( อังกฤษ :   Walailak University ;   อักษร,เป็น,"['“', 'มหาวิทยาลัย', 'ใน', 'กำกับ', 'ของ', 'รัฐบาล', '”']"
มหาวิทยาลัยวลัยลักษณ์   ( อังกฤษ :   Walailak University ;   อักษร,พระมหากรุณาธิคุณ,"['จาก', 'พระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช', 'บรมนาถบพิตร', 'รัชกาล', '9', 'พระราชทาน', 'ชื่อ']"
มหาวิทยาลัยวลัยลักษณ์   ( อังกฤษ :   Walailak University ;   อักษร,เป็น,"['สร้อย', 'พระนาม', 'ใน', 'สมเด็จพระเจ้าน้องนางเธอ']"
เจ้าฟ้าจุฬาภรณวลัยลักษณ์ อัครราชกุมารี   กรมพระศรีสวางควัฒน วรขัตติยราชนารี   ซึ่ง,เป็น,"['มหาวิทยาลัยสมบูรณ์แบบ', 'Comprehensive', ' University']"
เจ้าฟ้าจุฬาภรณวลัยลักษณ์ อัครราชกุมารี   กรมพระศรีสวางควัฒน วรขัตติยราชนารี   ซึ่ง,จัด,['การเรียนการสอน']
เจ้าฟ้าจุฬาภรณวลัยลักษณ์ อัครราชกุมารี   กรมพระศรีสวางควัฒน วรขัตติยราชนารี   ซึ่ง,ครอบคลุม,"['ทั้ง', 'ด้าน', 'วิทยาศาสตร์', 'สุขภาพ', 'ด้าน', 'วิทยาศาสตร์และ', 'เทคโนโลยี']"
โดย ได้,พัฒนา,['สภาพ']
โดย ได้,เป็น,"['เมือง', 'มหาวิทยาลัย', 'Residential ', 'University']"
โดย ได้,มี,"['ระบบ', 'สาธารณูปโภค', 'และ', 'สาธารณูปการ', 'แบบ', 'ครบ', 'วงจร']"
โดย ได้,รวม,"['ทั้ง', 'สิ่ง']"
โดย ได้,สะดวก,"['ๆ', 'และ']"
โดย ได้,จัด,"['อันดับ', 'มหาวิทยาลัยสี']"
โดย ได้,เขียว,"['โลก', 'ปี', '2021', 'จาก', 'จำนวน', '959', 'มหาวิทยาลัย']"
โดย ได้,เข้า,"['ทั่ว', 'โลก']"
ผล,ปรากฏ,['มหาวิทยาลัยวลัยลักษณ์']
ผล,จัด,['อันดับ']
ผล,เป็น,"['อันดับ', '1', 'มหาวิทยาลัย', 'สี', 'เขียว', 'ของ', 'ภาค', 'ใต้']"
มหาวิทยาลัยแม่โจ้   ( อังกฤษ :   Maejo University ;   อักษร,ย่อ,"['มจ. –', 'MJU']"
มหาวิทยาลัยแม่โจ้   ( อังกฤษ :   Maejo University ;   อักษร,เป็น,"['สถาบัน', 'อุดมศึกษา', 'ใน', 'กำกับ', 'ของ', 'รัฐ']"
มหาวิทยาลัยแม่โจ้   ( อังกฤษ :   Maejo University ;   อักษร,ตั้ง,"['ที่', 'อำเภอสันทราย', 'จังหวัดเชียงใหม่']"
มหาวิทยาลัยแม่โจ้   ( อังกฤษ :   Maejo University ;   อักษร,ก่อตั้ง,"['วัน', '7', 'มิถุนายน', 'พ.ศ.', '2477']"
